      0.000000      0.000000   0.000000
      1.008000      3.213000   0.000000
      1.701000      3.960000   0.000000
      3.123000      5.157000   0.000000
      6.771000      7.380000   0.000000
     14.181000     10.632000   0.000000
     21.654000     13.137000   0.000000
     29.154000     15.189000   0.000000
     44.205000     18.414000   0.000000
     59.295000     20.787000   0.000000
     74.400000     22.497000   0.000000
     89.520000     23.616000   0.000000
    104.646000     24.177000   0.000000
    119.772000     24.186000   0.000000
    134.892000     23.682000   0.000000
    150.000000     22.701000   0.000000
    165.093000     21.375000   0.000000
    180.171000     19.686000   0.000000
    195.228000     17.697000   0.000000
    210.261000     15.459000   0.000000
    225.267000     13.032000   0.000000
    240.252000     10.476000   0.000000
    255.210000      7.854000   0.000000
    270.147000      5.217000   0.000000
    285.069000      2.643000   0.000000
    300.000000      0.000000   0.000000
    284.931000      0.990000   0.000000
    269.853000      0.987000   0.000000
    254.790000      0.222000   0.000000
    239.748000     -0.924000   0.000000
    224.733000     -2.292000   0.000000
    209.739000     -3.795000   0.000000
    194.772000     -5.397000   0.000000
    179.829000     -6.834000   0.000000
    164.907000     -8.235000   0.000000
    150.000000     -9.492000   0.000000
    135.105000    -10.542000   0.000000
    120.228000    -11.334000   0.000000
    105.335400    -11.817000   0.000000
     90.480000    -11.952000   0.000000
     75.600000    -11.757000   0.000000
     60.705000    -11.235000   0.000000
     45.795000    -10.338000   0.000000
     30.846000     -8.985000   0.000000
     23.346000     -8.055000   0.000000
     15.819000     -6.840000   0.000000
      8.229000     -5.148000   0.000000
      4.377000     -3.873000   0.000000
      2.799000     -3.120000   0.000000
      1.992000     -2.613000   0.000000
